title,venue,artist,genre,memo,year,month,url
REAL PORTRAIT S+NEXT ,市民ギャラリー矢田　第二展示室～第七展示室,Various,写真,None,2014,4,https://www.hasegawahaseo.com/single-post/real-portrait-s-next
アンドレアス・グルスキー展,国立国際美術館,アンドレアス・グルスキー,写真,でかいは正義。すごい圧倒されました。,2014,5,https://www.nmao.go.jp/archive/exhibition/2014/post_176.html
これからの写真,愛知県美術館,Various,Various,私が初めて生で見た現代美術の展示です。ここから私の人生が変わったと思います。,2014,9,https://www-art.aac.pref.aichi.jp/exhibition/000066.html
INFINITY VS　～僕らと、たった一人のモナ～,名古屋パルコ南館・9F,Various,写真,None,2014,9,https://art.parco.jp/acr/web/other/exhibition-id-690.html
エリック・サティとその時代展,Bunkamura ザ・ミュージアム,エリック・サティ,音楽,None,2015,8,https://www.bunkamura.co.jp/museum/exhibition/15_satie/
美しすぎるSE展,新宿眼科画廊,Various,写真,None,2015,11,https://www.gankagarou.com/show-item/201511se/
A Life with Camera,鈴江第3ビル6F,上田義彦,写真,None,2015,11,https://www.asahi.com/and/article/20150406/400140281/
PHTOJAM TOKYO vol.4,ギャラリーコンシール渋谷,Various,写真,None,2016,2,https://www.timeout.jp/tokyo/ja/%E3%82%A2%E3%83%BC%E3%83%88/photojam-tokyo-vol-4
BACON ICE CREAM,パルコミュージアム（渋谷パルコPART1・3F）,奥山由之,写真,None,2016,2,https://prtimes.jp/main/html/rd/p/000000266.000003639.html
BODY LOUD !,東京オペラシティ アートギャラリー,ライアンマッギンレー,写真,None,2016,5,https://www.operacity.jp/ag/exh187/
left behind －残されたもの－ ,神保町画廊,小林修士,写真,None,2016,3,https://dc.watch.impress.co.jp/docs/news/exhibition/744584.html
SENSE the MATERIAIL ～素材との対話～,マテリアルコネクション東京,不明,不明,None,2016,5,https://evenear.com/event/detail/17089
快楽の館,原美術館,篠山紀信,写真,None,2016,9,https://www.art-it.asia/u/HaraMuseum/ioxcfnsplejtadmkb86i/
カッサンドル・ポスター展　グラフィズムの革命,八王子市夢美術館,カッサンドル ,グラフィック,いろんなところで展示してたけど、観に行ったのは夢美術館,2017,4,https://www.artagenda.jp/exhibition/detail/1280
OPEN STUDIO 2017,BankART Station ,Various,メディアアート,リンクを開くと音声がなるので注意,2017,7,https://fm.geidai.ac.jp/openstudio/2017/
日本画の逆襲 かわるもの、かわらないもの、うけつがれるもの、あらたまるもの,岐阜県美術館,Various,日本画,None,2017,8,https://kenbi.pref.gifu.lg.jp/images/1_%E5%B1%95%E7%A4%BA%E4%BA%8B%E6%A5%AD_2%E4%BC%81%E7%94%BB%E5%B1%95_1_35.pdf
コレクション展2　死なない命,金沢21世紀美術館,Various,現代美術,やくしまるえつことデミアン・ハーストがやばかった覚えがある,2017,9,https://www.kanazawa21.jp/data_list.php?g=17&d=1751
Robert Frank: Books and Films; 1947-2017 in Kobe,デザイン・クリエイティブセンター神戸（KIITO）,ロバートフランク,写真,None,2017,9,https://robertfrank2017kobe.tumblr.com/
emergencies!032:盛るとのるソー,NTTインターコミュニケーション・センター [ICC] ,小林椋,メディアアート,None,2017,9,https://www.ntticc.or.jp/ja/exhibitions/2017/emergencies-032-kobayashi-muku/
